,Title,Title_URL,Company_URL,Company,ratinglink_URL,Number,Company1,Salary,metadata,metadata2,moreitems,jobsnippet,date,ialbl,jobsnippet3,Field1,Field2
148,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Knight St Multiage Learning is seeking applicants to fill the following positions.,"
 Monday to Friday
 No weekends
"
149,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Kindergarten Teacher (Bachelor of Education Early Childhood),"
 Monday to Friday
 No weekends
"
150,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Educational Leader (Diploma of Early Childhood),"
 Monday to Friday
 No weekends
"
151,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Knight St Multiage Learning is a smaller owner operated long care centre located in Shepparton Victoria.,"
 Monday to Friday
 No weekends
"
152,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,We are dedicated to providing quality educational programs and are looking for highly motivated and knowledgable educators to inspire and be part of our vibrant and dynamic team environment.,"
 Monday to Friday
 No weekends
"
153,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Programs Include,"
 Monday to Friday
 No weekends
"
154,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,12 Place Nursery,"
 Monday to Friday
 No weekends
"
155,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,20 Place 3 & 4 year old Kinder (including bush kinder),"
 Monday to Friday
 No weekends
"
156,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,28 Place Multiage program,"
 Monday to Friday
 No weekends
"
157,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,22 Place Sustainability Program,"
 Monday to Friday
 No weekends
"
158,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,"Applicants must have a sound knowledge of the regulations, EYLF & QIP.","
 Monday to Friday
 No weekends
"
159,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Recent graduates of Bachelor of Early Childhood and Students more than 50% through studies may apply.,"
 Monday to Friday
 No weekends
"
160,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,"Job Types: Full-time, Part-time
Part-time hours: 24-38 per week","
 Monday to Friday
 No weekends
"
161,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,"Salary: $53,367.71 – $87,902.57 per year","
 Monday to Friday
 No weekends
"
162,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Schedule:,"
 Monday to Friday
 No weekends
"
1786,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Office assistant / All rounder required,"
 Day shift
 Evening shift
 Flexible hours
"
1787,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,"Basic to do, so no experience necessary","
 Day shift
 Evening shift
 Flexible hours
"
1788,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,For health & homecare business,"
 Day shift
 Evening shift
 Flexible hours
"
1789,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Part-time flexible hours - some evening shifts,"
 Day shift
 Evening shift
 Flexible hours
"
1790,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,"Petrol cost may be covered, car essential","
 Day shift
 Evening shift
 Flexible hours
"
1796,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,"Immediate interview available, please contact","
 Day shift
 Evening shift
 Flexible hours
"
1798,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,"Job Type: Part-time
Part-time hours: 12 per week","
 Day shift
 Evening shift
 Flexible hours
"
1800,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Salary: $40.00 per hour,"
 Day shift
 Evening shift
 Flexible hours
"
1802,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Schedule:,"
 Day shift
 Evening shift
 Flexible hours
"
1804,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Supplemental pay types:,"
 Day shift
 Evening shift
 Flexible hours
"
1806,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Ability to commute/relocate:,"
 Day shift
 Evening shift
 Flexible hours
"
1808,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Work Authorisation:,"
 Day shift
 Evening shift
 Flexible hours
"
1810,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Application Deadline: 21/02/2023,"
 Day shift
 Evening shift
 Flexible hours
"
3160,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,,
6351,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,"pickers\packers for hydroponic tomatoes in greenhouse
pickers: pick and pack truss tomatoes, maintain tomato plants
candidates should be motivated and be able to learn quickly.
work is physical in humid conditions and hot during summer months.
start time 6 am during summer months and 7 am during winter months
candidates will use picking/packing equipment, required to be able to work solo and in a team and have the ability to work quickly and with accuracy.
Successful candidates will be offered employment on casual basis under the Horticulture award working 38 hours per week.","
 8 hour shift
"
6352,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Job Type: Full-time,"
 8 hour shift
"
6353,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Salary: $27.50 – $30.00 per hour,"
 8 hour shift
"
6354,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Schedule:,"
 8 hour shift
"
6355,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Supplemental pay types:,"
 8 hour shift
"
6356,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Ability to commute/relocate:,"
 8 hour shift
"
6357,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Work Authorisation:,"
 8 hour shift
"
6358,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,Work Location: In person,"
 8 hour shift
"
7074,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,VEGETABLE GROWER,"
 8 hour shift
"
7076,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,"Katunga Fresh Pty Ltd, a leading grower of hydroponic tomatoes, is seeking a full‐time VEGETABLE GROWER for their farm located in Katunga, Victoria. This position involves direction and oversight of general farm activities including application of fertilizers and other nutrients, pest/weed control, monitoring of the farm growing operations, production/crop production coordination and planning taking into account external factors, selecting and planting seeds, seedlings and grafting new varieties to root stocks, assisting production by de‐budding and pruning to maintain optimal growing conditions, maintaining farm buildings and related equipment and resources, and forecasting production figures and quality control. The successful candidate will have proven experience in farm techniques and farm management, will be patient, hardworking and resourceful, and will be able to work and communicate effectively as part of our dedicated and motivated growing and production team. Qualifications: This position requires at least an AQF Certificate II or III or 5 years of relevant experience","
 8 hour shift
"
7077,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,"Salary package range is $54,000 ‐ $65,000 plus superannuation; salary is based on previous experience and skills. Job is located in Katunga, VIC – applicant must be able to commute or relocate. Must be authorised to work in Australia. Job is full‐time (8‐hour shifts).","
 8 hour shift
"
7079,Office assistant,https://au.indeed.com/company/Activate-Victoria/jobs/Office-Assistant-280c6eb67eaae513?fccid=28ee6a0baa861750&vjs=3,,,,,Berwick VIC,$40 an hour,Part-time,"Flexible hours
+4",4.0,"Basic to do, so no experience necessary.","Employer
Active 7 days ago",Easily apply,Part-time flexible hours - some evening shifts.,"Salary: $54,000.00 – $65,000.00 per year","
 8 hour shift
"
